시간(ms),밴드패스,평균이동,피크
37282,0.33,0.46,0
37288,0.35,0.63,0
37294,0.51,0.95,0
37300,0.37,0.98,0
37306,0.37,1.17,0
37312,0.37,1.28,0
37328,0.4,1.38,0
37334,0.39,1.6,0
37340,0.4,1.58,0
37346,0.26,1.46,0
37352,0.43,1.38,0
37358,0.36,1.49,0
37374,0.3,1.36,0
37380,0.32,1.54,0
37386,0.42,1.57,0
37392,0.32,1.6,0
37398,0.41,1.6,0
37404,0,0.99,0
37420,0.67,1.46,0
37426,0,0.97,0
37432,0.85,1.72,0
37438,0.19,1.38,0
37444,0.22,1.32,0
37450,0,0.74,0
37466,0.37,0.78,0
37472,0.67,1.17,0
37478,0.29,1.04,0
37484,0.37,1.21,0
37490,0.5,1.39,0
37496,0.56,1.62,0
37512,0.52,1.81,0
37518,0.33,1.87,0
37524,0.49,2.11,0
37530,0.21,1.52,0
37536,0.26,0.58,0
37542,0.25,-0.12,0
37558,0.25,-0.02,0
37564,0.35,-0.03,0
37570,0.25,-0.52,0
37576,0.39,-0.24,0
37582,0.45,-0.16,0
37598,0.12,-0.18,0
37604,0.38,-0.08,0
37610,0.23,-0.27,0
37616,0.32,-0.54,0
37622,0.35,-0.44,0
37638,0.47,-0.21,0
37644,0.41,-0.12,0
37650,0.45,0.22,0
37656,0.33,0.15,0
37662,0.4,0.23,0
37668,0.39,0.27,0
37684,0.42,0.09,0
37690,0.3,-0.06,0
37696,0.3,-0.19,0
37702,0.39,-0.19,0
37708,0.36,-0.27,0
37714,0.32,-0.38,1
37730,0.27,-0.58,0
37735,0.32,-0.52,0
37740,0.5,-0.42,0
37745,0.41,-0.34,0
37761,0.28,-0.37,0
37766,0.26,-0.46,0
37771,0.39,-0.52,0
37776,0.46,-0.31,0
37792,0.32,-0.44,0
37797,0.32,0.01,0
37802,0.26,-0.62,0
37807,0.44,-0.01,0
37823,0.4,-0.6,0
37828,0.26,-0.5,0
37833,0.2,-0.49,0
37838,0.42,0.16,0
37854,0.36,0.16,0
37859,0.36,-0.3,0
37864,0.23,-0.41,0
37869,0.34,-0.45,1
37885,0.35,-0.64,0
37890,0.36,-0.93,0
37895,0.3,-1.23,0
37900,0.24,-1.33,0
37916,0.44,-1.32,0
37921,0.37,-0.99,0
37926,0.28,-0.88,0
37931,0.34,-0.69,0
37946,0.29,-0.58,0
37951,0.29,-0.65,0
37956,0.29,-0.56,0
37961,0.4,-0.55,0
37976,0.21,-0.87,0
37981,0.26,-0.64,0
37986,0.38,-0.6,0
37991,0.39,-0.34,0
38007,0.36,-0.27,0
38012,0.31,-0.3,0
38017,0.31,-0.57,0
38022,0.44,-0.52,0
38038,0.33,-0.68,0
38043,0.27,-0.75,1
38048,0.25,-0.95,0
38053,0.37,-0.98,0
38068,0.29,-1.13,0
38073,0.39,-0.97,0
38078,0.36,-0.82,0
38083,0.29,-0.91,0
38099,0.34,-0.9,0
38104,0.18,-1.06,1
38109,0.68,-0.45,0
38114,0,-0.79,0
38130,0.26,-1.1,1
38135,0.78,-0.58,0
38140,0.4,-0.26,0
38145,0.47,0.09,0
38161,0.44,0.19,0
38166,0.1,-0.3,0
38171,0.63,0.09,0
38176,0.44,0.34,0
38192,0.25,0.3,0
38197,0.09,-0.23,0
38202,0.2,-0.58,0
38207,0.33,-0.5,0
38223,0.27,-0.35,0
38228,0.3,-0.47,0
38233,0.32,-0.54,0
38238,0.47,-0.34,0
38254,0.37,-0.1,0
38259,0.34,-0.04,0
38264,0.21,-0.24,0
38269,0.47,-0.09,0
38285,0.51,0.26,0
38290,0.31,0.41,0
38295,0.28,0.14,0
38300,0.43,0.17,0
38316,0.29,0.16,0
38321,0.26,0.07,0
38326,0.33,0.12,0
38331,0.21,0,0
38347,0.38,0.13,0
38352,0.33,0.08,0
38357,0.29,0.21,0
38362,0.31,0.27,0
38378,0.42,0.35,0
38383,0.41,0.37,0
38388,0.3,0.28,0
38393,0,-0.2,0
38409,0,-0.69,1
38414,0.72,-0.32,0
38419,0.63,0.22,0
38424,0.25,0.29,0
